Name,Position,Footed,Birthdate,Birthdate,Nationality,Club,Non-Penalty Goals,Non-Penalty xG(npxG),Shots Total,Assists,Expected Assisted Goals(xAG),npxG + xAG,Shot-Creating Actions,Passes Attempted,Pass Completion %,Progessive Passes,Progessive Carries,Successful Take-Ons,Touches(Att Pen),Tackles,Interceptions,Blocks,Clearances,Aerials Won
Ryan Flamingo,DF-MF(CB),Right,December 31, 2002,Netherlands,PSV Eindhoven,0.27,0.08,0.66,0.00,62  ,0.09,1.99,71.7,90.9%,5.57,0.53,1.19,0.00,2.25,1.99,1.06,3.05,1.99
Olivier Boscagli,DF(CB-left),Left,November 18, 1997,France,PSV Eindhoven,0.00,0.03,0.82,0.00,95  ,0.09,3.27,80.2,87.2%,8.67,1.12,0.41,0.20,1.63,1.73,1.33,3.98,1.12
Luuk de Jong,FW,Right,August 27, 1990,Netherlands,PSV Eindhoven,0.21,0.45,2.77,0.00,63  ,0.57,2.98,24.4,67.2%,1.64,0.41,5.64,4.00,1.33,0.21,0.82,1.13,6.05
Malik Tillman,FW-MF,Right,May 28, 2002,United,PSV Eindhoven,0.38,0.09,1.51,0.25,89  ,0.27,5.18,42.7,82.9%,5.55,1.51,2.65,5.68,3.28,1.64,2.15,1.39,1.14
Guus Til,MF(AM-CM),Right,December 22, 1997,Netherlands,PSV Eindhoven,0.00,0.22,2.46,0.15,36  ,0.28,2.62,26.7,74.1%,2.77,1.23,4.00,5.69,1.08,0.46,0.62,1.08,1.38
Johan Bakayoko,FW-MF(AM-right),N/A,April 20, 2003,Belgium,PSV Eindhoven,0.20,0.22,3.04,0.10,48  ,0.42,4.16,42.7,79.3%,2.44,6.49,5.58,14.3,1.32,0.71,0.71,0.61,0.41
Mauro Júnior,DF-FW-MF(FB),Left,May 6, 1999,Brazil,PSV Eindhoven,0.00,0.04,0.79,0.00,32  ,0.11,1.80,55.7,87.7%,3.15,0.67,1.91,4.94,2.47,0.79,1.24,2.02,1.01
Noa Lang,FW-MF,Right,June 17, 1999,Netherlands,PSV Eindhoven,0.19,0.15,2.26,0.19,16  ,0.28,4.90,42.1,71.0%,4.52,5.84,5.27,9.04,1.88,0.75,0.75,0.56,0.38
Ismael Saibari,FW-MF,Right,January 28, 2001,Morocco,PSV Eindhoven,0.30,0.30,3.28,0.15,80  ,0.45,2.68,36.8,79.8%,4.92,2.09,4.92,4.92,3.73,0.75,0.60,0.45,0.60
Jerdy Schouten,FW-MF(CM-DM),Right,January 12, 1997,Netherlands,PSV Eindhoven,0.17,0.02,0.50,0.00,3   ,0.03,0.83,55.3,89.2%,5.17,0.17,0.50,0.67,2.17,1.00,0.67,1.17,0.83
